식품명,대표식품명,탄수화물(g),Gi수치 ,,,,
스윗딸기마카롱,마카롱,53,32,,,,
스윗민트마카롱,마카롱,52,32,,,,
스윗바닐라마카롱,마카롱,52,32,,,,
스윗블루베리마카롱,마카롱,53,32,,,,
스윗요거트마카롱,마카롱,52,32,,,,
스윗초코마카롱,마카롱,52,32,,,,
스윗쿠크마카롱,마카롱,53,32,,,,
스트로베리팝핑뚱카롱,마카롱,48,32,,,,
아비시니마카롱,마카롱,50,32,,,,
애플망고마카롱,마카롱,61.22,32,,,,
얼그레이마카롱,마카롱,56,32,,,,
얼그레이마카롱(냉동),마카롱,24,32,,,,
얼그레이콩포트마카롱,마카롱,53.33,32,,,,
에담치즈마카롱,마카롱,63.11,32,,,,
오디크림치즈마카롱,마카롱,40,32,,,,
오레오뚱카롱,마카롱,37.5,32,,,,
오레오마카롱,마카롱,66.61,32,,,,
오레오앙글레즈마카롱,마카롱,56.67,32,,,,
오레오크림치즈마카롱,마카롱,23.33,32,,,,
오로라마카롱,마카롱,56.25,32,,,,
오미자치카롱,마카롱,49.14,32,,,,
요거트뚱카롱,마카롱,47.5,32,,,,
요거트레몬마카롱,마카롱,45,32,,,,
요거트마카롱,마카롱,63.39,32,,,,
